ID,RE1,RE2,RE3,RE4,RE5,RE6,RE7,RE8,RE9,RE10,SH1,SH2,SH3,SH4,SH5,SH6,SH7,SH8,SH9,SH10
NOubzHCUt48,1,0,1,0,1,1,2,6,3,3,1,0,0,0,3,2,4,5,2,1
cSnkWzZ7ZAA,0,0,1,1,1,3,8,6,4,3,1,0,0,1,0,4,11,3,3,3
t0MEODXMMrU,1,0,4,0,1,2,2,2,5,1,1,0,1,0,1,3,4,1,1,2
KpWdEc0bK28,1,1,0,1,2,0,3,4,2,0,1,0,0,1,1,2,6,2,1,1
VuBppsGN9sQ,1,0,0,0,2,4,5,2,0,0,1,0,1,1,1,3,5,3,1,0
Sa3wZE4ZsxQ,3,1,7,2,4,2,3,0,0,0,1,0,4,8,1,2,1,3,0,1
erbjtiyWcEQ,1,1,1,1,2,2,4,6,0,0,1,0,1,0,2,5,2,4,4,0
wnX01LtmsfU,2,0,3,3,5,7,1,0,0,0,1,1,1,4,7,8,1,0,0,0
vOBdFVhP4QE,1,0,2,2,2,3,2,2,0,0,2,0,1,1,3,2,3,2,0,0
X70VMrH3yBg,1,0,1,3,2,5,2,3,0,0,1,0,2,0,3,2,3,5,1,0
9Ri7TcukAJ8,2,0,1,3,4,3,1,0,1,0,3,0,1,1,4,1,1,1,0,1
0vo23H9J8o8,1,0,2,0,3,7,3,3,3,1,1,0,1,0,4,10,3,0,6,1
RXLELdezjuE,4,2,10,3,3,0,2,0,0,0,2,0,4,7,4,1,0,0,0,0
hKEdlSTHjtU,3,2,10,3,2,0,0,1,0,0,2,2,3,9,1,1,0,0,1,0
soXfp6Xx2VE,2,1,1,2,2,2,3,2,0,0,1,0,1,2,1,3,5,1,0,0
moAR4Bb2QHI,1,0,2,4,1,2,3,1,1,1,1,0,1,3,2,1,1,3,2,0
WKEWviZKDyg,1,0,2,2,2,1,3,1,0,1,1,0,0,4,0,1,3,1,0,0
744WsO9iw5E,2,1,2,4,3,2,0,1,0,0,1,1,2,4,1,3,1,0,0,0
81rSPlNnitM,1,1,0,1,4,1,1,0,0,1,1,0,1,1,2,1,2,1,0,1
F8GwPuKL0e0,1,0,3,4,1,3,0,3,0,1,1,0,2,3,1,1,2,2,0,0
duRp_avXtMM,2,0,10,1,3,1,2,2,0,0,1,0,1,10,1,3,2,2,0,0
98KtkxkKHXY,3,1,2,1,1,0,1,0,0,0,1,1,1,4,1,1,1,0,1,0
u_MOvO6DwVg,1,1,8,6,0,1,2,0,0,0,1,0,1,8,1,2,2,0,0,0
koZYJ7DgHBo,2,0,2,3,1,1,2,0,1,0,0,1,1,1,2,3,3,0,1,0
zSNVwZobP60,1,2,3,1,3,1,1,0,0,0,1,0,5,2,2,1,1,0,0,0
rhlygCtJFSM,4,0,8,2,3,1,1,1,0,0,1,0,2,10,3,0,1,0,2,0
keQR4_7DBnM,1,0,2,0,6,1,4,0,0,1,1,0,0,3,2,1,0,2,1,0
1hul1kuWDKE,1,0,2,2,1,1,5,0,0,0,1,0,1,1,4,3,0,3,0,1
2Py37G9qsfY,2,1,1,3,8,3,1,0,0,0,1,1,1,2,7,6,0,2,0,0
3LFjHo7Cdrw,2,0,7,3,2,1,1,1,0,0,2,0,2,9,0,1,2,0,0,0
fQ4NFsw4bOU,2,2,6,1,1,1,1,1,0,0,2,1,0,5,1,0,1,2,1,0
jMXXnLSRdBE,4,0,7,3,1,0,1,0,0,0,2,0,2,8,5,3,2,1,0,0
TAiIQ91UPeo,6,2,4,2,1,1,1,4,0,0,6,1,1,4,2,1,1,2,0,1
CxgW_RgsHL4,2,1,6,2,3,1,1,0,0,0,3,1,4,3,1,1,1,0,0,1
-t-3wfA_uow,1,2,3,1,3,1,0,1,0,0,1,1,2,4,1,1,0,0,0,0
E4qyIQAsm74,5,3,2,4,1,1,0,0,0,0,3,2,4,3,1,2,1,0,0,1
LWQbuJ24Wzg,3,1,4,5,1,0,1,1,0,0,2,3,3,4,2,3,0,1,0,0
gFmYAEj0uJA,3,3,1,3,1,1,2,1,0,0,2,1,2,3,1,2,5,2,0,0
WIjWaulrLjs,14,1,1,4,0,0,0,0,0,0,9,2,3,4,2,2,1,0,0,0
GaioIutcHKI,2,1,0,2,1,1,4,1,0,3,2,1,4,3,3,2,1,0,0,0
hUj-2aCOHSQ,1,2,0,2,3,1,2,2,0,1,2,0,4,4,2,4,0,0,0,0
Mx0xCI1jaUM,1,0,2,1,2,2,2,2,5,1,1,1,0,4,1,3,1,2,1,2
GD3VsesSBsw,2,2,1,2,2,4,0,0,2,0,1,1,2,3,0,4,0,0,0,1
mm-sbOH-nEc,6,3,3,5,2,1,1,1,0,0,4,0,2,3,1,2,6,1,1,0
aHjpOzsQ9YI,2,1,2,1,2,2,1,1,2,2,1,0,2,1,3,2,3,2,0,2
XsTjI75uEUQ,13,5,4,1,0,1,1,0,0,0,7,3,2,5,1,1,1,1,1,0
i7MLT4MmAK8,5,7,1,4,1,0,0,0,0,0,5,2,1,6,2,1,1,0,0,0
JTc1mDieQI8,4,3,2,2,0,3,1,1,0,1,2,0,1,2,1,3,2,2,0,1
CSav51fVlKU,2,2,1,1,1,3,1,3,1,0,1,0,2,4,1,0,4,1,3,0
FZNqs0YgWkM,5,4,2,3,1,1,1,0,0,0,4,1,1,3,2,1,0,0,1,0
cjNfkbQr5zc,3,5,5,1,3,1,0,0,0,0,3,3,2,5,2,1,0,0,0,0
7wfYIMyS_dI,7,2,3,5,1,1,0,0,0,0,5,1,1,5,1,1,1,0,0,0
c53SzImGRvc,2,1,1,4,3,1,1,1,0,0,4,1,3,3,2,2,2,0,0,0
jSvxE5eIUIQ,10,1,1,5,1,0,1,0,0,0,10,2,3,3,1,1,0,0,0,0
fz4MzJTeL0c,2,2,2,3,0,1,1,1,0,0,2,0,1,2,1,2,2,0,0,1
xPXWxPdQMSw,7,3,3,3,2,1,0,0,0,0,6,1,5,3,2,1,2,0,0,0
iDEdZfnULIg,2,4,4,2,1,1,3,1,0,0,4,0,4,6,0,0,1,1,0,0
imamcajBEJs,1,1,1,2,2,2,2,1,0,1,2,1,0,4,1,2,0,1,0,0
IiAVsYnHtwM,3,2,2,2,2,3,1,0,1,2,1,3,2,3,2,0,2,2,1,0
RxabLA7UQ9k,6,3,3,2,1,1,1,0,0,0,7,1,2,4,2,1,0,0,0,0
J3IlqY1CbI0,1,1,3,1,4,1,1,0,1,3,2,0,2,4,1,2,1,1,1,0
Cc-HcPyxLNg,1,1,1,1,1,1,0,4,3,1,1,0,2,1,0,2,6,1,1,2
lexLAjh8fPA,2,0,1,3,4,1,2,3,0,0,2,1,2,5,3,0,0,1,2,0
5qm8PH4xAss,0,0,1,2,4,6,3,4,2,1,1,0,1,2,6,5,1,2,3,1
Vhf5cuXiLTA,0,0,2,0,2,4,5,2,1,1,0,1,0,0,5,2,4,2,2,1
gWju37TZfo0,0,2,1,2,5,7,2,2,0,0,0,1,0,1,7,6,2,3,2,0
L53gjP-TtGE,0,0,2,1,4,5,3,2,3,1,1,1,0,0,5,7,5,0,1,0
E5Q-_7_mnKc,1,4,2,5,0,2,2,1,0,0,0,3,5,1,3,1,4,1,0,0
0KSOMA3QBU0,0,0,1,2,2,3,4,4,2,1,1,0,1,1,2,4,4,3,0,2
PsO6ZnUZI0g,1,0,1,0,1,0,4,4,3,1,1,0,0,2,1,2,6,4,0,2
VDvr08sCPOc,0,0,1,1,0,4,6,3,0,1,0,0,2,2,6,2,3,2,0,0
aIXyKmElvv8,2,1,3,3,2,2,1,0,2,0,2,0,6,1,3,1,3,0,0,1
bmXumtgwtak,1,1,0,1,2,3,5,2,3,2,1,3,2,3,2,2,2,2,0,2
UePtoxDhJSw,0,0,2,1,2,5,3,2,1,0,1,0,1,1,3,4,2,3,3,0
_JZom_gVfuw,1,0,2,4,5,5,3,0,2,0,1,0,0,1,9,7,1,1,2,0
GxBSyx85Kp8,0,0,0,2,1,2,3,3,2,4,1,0,1,0,2,3,0,4,3,4
KnEXrbAQyIo,0,0,0,2,1,1,2,5,2,4,1,0,1,0,2,1,4,5,1,2
IoBP24I2lwA,0,0,3,2,1,3,1,3,0,1,0,0,1,1,1,4,0,4,1,0
UhQz-0QVmQ0,0,2,1,3,1,2,3,3,0,0,1,0,1,0,5,1,2,2,1,1
nQJACVmankY,1,2,0,3,3,3,3,1,0,0,0,2,0,2,3,2,4,0,0,0
3JcmQONgXJM,0,0,2,2,3,4,5,5,0,0,1,0,1,0,3,4,6,7,1,0
YVkUvmDQ3HY,0,0,0,2,2,1,3,5,2,1,0,2,2,0,0,1,4,3,2,2
h4UqMyldS7Q,1,2,1,4,2,1,1,1,0,0,0,1,2,1,2,4,3,1,0,0
8GYe7LqTnTE,0,0,1,3,3,2,5,0,0,0,0,1,1,1,3,2,4,0,1,0
N6O2ncUKvlg,2,1,1,5,1,1,2,0,2,1,0,3,1,3,2,3,1,0,1,1
eJO5HU_7_1w,0,0,1,1,1,4,3,3,1,2,1,0,1,0,1,4,3,2,2,1
SRcnnId15BA,0,0,1,3,0,2,6,3,0,1,1,0,0,1,4,3,3,2,0,1
6uikJTnmtgw,0,1,2,0,3,3,4,2,1,2,0,1,1,3,3,3,1,2,0,0
UDApZhXTpH8,0,1,1,3,0,3,4,0,3,1,1,0,0,2,1,1,3,6,1,1
uelHwf8o7_U,3,2,2,2,1,1,4,1,0,0,2,2,4,3,0,2,1,0,1,0
5K5Dm-o_MEs,0,1,1,1,1,3,2,3,2,3,1,0,0,1,1,3,0,4,2,3
Gcg__eDktgY,0,0,0,3,1,3,2,3,0,3,0,1,0,1,1,2,4,3,3,3
